pl_name,hostname,disc_year,discoverymethod,pl_orbper,sy_dist,pl_rade,pl_eqt,ra,dec
K2-73 b,K2-73,2016,Transit,7.49491004,269.183,,,335.025662,-9.0560881
K2-79 b,K2-79,2016,Transit,10.993948,256.011,3.14685573,,55.2559307,13.5191871
Kepler-549 c,Kepler-549,2016,Transit,117.040498,635.145,2.93,,283.0228527,47.2611431
Kepler-386 c,Kepler-386,2014,Transit,25.1936806932,882.462,,,289.8589165,48.6938077
Kepler-189 b,Kepler-189,2014,Transit,10.40006,591.534,1.17,664.0,287.5646296,44.3050662
HD 40979 b,HD 40979,2002,Radial Velocity,264.15,34.0883,,,91.1253346,44.2597855
Kepler-171 b,Kepler-171,2014,Transit,4.166962173,863.855,2.44,1024.0,296.7719082,41.7555958
Kepler-1481 b,Kepler-1481,2016,Transit,5.94220998,459.076,1.27,798.0,289.4390075,49.7312226
WASP-77 A b,WASP-77 A,2012,Transit,1.360029395,105.166,,,37.1555223,-7.0606675
HD 40307 c,HD 40307,2009,Radial Velocity,9.6184,12.9363,,,88.5172191,-60.0237289
Kepler-302 c,Kepler-302,2014,Transit,127.282184,1402.58,12.45,,294.3169307,43.6292436
Kepler-755 b,Kepler-755,2016,Transit,1.269090374,399.034,1.78,1372.0,296.8609348,41.0973178
TOI-1136 e,TOI-1136,2022,Transit,18.80693,84.5362,2.5456702,669.11,192.1848981,64.8552755
Kepler-207 b,Kepler-207,2014,Transit,1.6118839738,875.519,,,290.0305195,42.1660555
Kepler-803 b,Kepler-803,2016,Transit,50.28638192,639.771,3.2,479.0,299.2216728,44.6939033
Kepler-271 b,Kepler-271,2014,Transit,10.43547805,404.542,1.247,,283.0029316,44.284108
Kepler-68 c,Kepler-68,2013,Transit,9.604869,144.166,1.11,944.0,291.0323102,49.0402129
Kepler-129 c,Kepler-129,2014,Transit,82.1997,408.845,2.04,476.0,285.3111845,47.8484775
Kepler-1392 b,Kepler-1392,2016,Transit,15.1410397,,2.04,714.0,288.7669819,46.3944497
Kepler-1729 b,Kepler-1729,2021,Transit,4.220970154,576.181,3.89404186,,296.6939428,42.6261145
Kepler-192 d,Kepler-192,2016,Transit,6.4702964145,651.674,,,287.9179379,45.5928829
